rank,seed,delta_G,delta_sigma,ssimW,ssimN1,ssimN2,ssimN3,corrW,corrN1,corrN2,corrN3,eW,eN1,eN2,eN3,sync,meta,mean,peakfreq
0,10,0.06,-0.2,0.2509,0.2407,0.2344,0.2959,0.3362,0.3466,0.2944,0.3484,13.0387,16.9564,13.685,11.1149,0.4974,0.2008,0.3528,5.0
0,10,0.12,-0.12,0.2171,0.2024,0.1745,0.2429,0.2982,0.2888,0.2315,0.3044,11.3652,13.8459,12.2221,12.8488,0.5698,0.2112,0.4463,5.125
0,10,0.18,-0.04,0.2145,0.2299,0.1588,0.1705,0.2649,0.2693,0.128,0.1602,13.2859,12.0614,14.2851,18.9495,0.673,0.2108,0.5917,5.125
0,10,0.24,0.04,0.1846,0.2032,0.131,0.1335,0.2249,0.2215,0.0797,0.1032,14.7987,13.3557,15.8342,20.5663,0.6829,0.2175,0.6096,5.125
0,11,-0.1,0.12,0.2402,0.191,0.2463,0.2804,0.3264,0.262,0.3501,0.32,22.7024,27.7911,22.9346,17.437,0.3258,0.1486,0.1578,4.125
0,11,-0.02,-0.2,0.293,0.2262,0.2744,0.3355,0.3771,0.2965,0.3645,0.3963,19.3958,24.5247,19.7887,14.3077,0.382,0.1681,0.2096,4.5
0,11,0.04,-0.12,0.2567,0.2174,0.2444,0.288,0.3454,0.3019,0.3132,0.3444,16.6521,21.2115,17.1717,13.0894,0.4493,0.1886,0.2824,4.75
0,11,0.1,-0.04,0.2685,0.2664,0.2213,0.2275,0.33,0.3286,0.2162,0.2435,10.8833,10.9879,11.9038,15.8339,0.6405,0.2146,0.5393,4.75
0,11,0.16,0.04,0.1983,0.1829,0.1294,0.1458,0.2246,0.1749,0.0684,0.1169,14.0952,12.9369,15.1256,19.9357,0.7012,0.2003,0.6095,4.75
0,11,0.22,0.12,0.197,0.1943,0.2163,0.1493,0.1896,0.1392,0.2535,0.1973,18.2496,15.7692,18.0257,24.2079,0.7697,0.1894,0.6945,5.0
0,12,-0.1,-0.2,0.1803,0.1449,0.1798,0.2193,0.3505,0.283,0.3319,0.3246,24.7647,29.9406,25.1472,19.2155,0.2746,0.1279,0.1161,4.875
0,12,-0.04,-0.12,0.2996,0.2251,0.2998,0.3442,0.3616,0.2665,0.3775,0.3851,18.2786,23.3869,18.5444,13.5345,0.4074,0.1778,0.2347,4.5
0,12,0.02,-0.04,0.2957,0.2493,0.2925,0.2941,0.3488,0.2922,0.3292,0.3347,11.477,15.559,12.0017,10.8358,0.5109,0.2152,0.3841,4.125
0,12,0.08,0.04,0.3124,0.2822,0.2927,0.2753,0.3307,0.264,0.286,0.3071,10.2517,11.6126,10.8682,14.3185,0.6184,0.2212,0.5138,4.25
0,12,0.14,0.12,0.2462,0.2347,0.2882,0.2147,0.2276,0.1617,0.2998,0.2617,13.9674,13.1253,13.6824,19.0196,0.6854,0.205,0.6011,4.5
0,12,0.22,-0.2,0.1189,0.1198,0.1192,0.1948,0.1425,0.1479,0.1246,0.2075,13.1233,14.3746,13.5596,15.4252,0.6014,0.2149,0.4923,5.75
0,12,0.28,-0.12,0.1388,0.1811,0.129,0.139,0.1835,0.2262,0.1112,0.1281,13.938,12.9761,14.6235,18.8221,0.6534,0.2148,0.5728,5.75
0,13,-0.06,-0.04,0.2915,0.2191,0.2767,0.3144,0.3957,0.3061,0.3806,0.3749,19.9297,25.0499,20.3167,15.0889,0.3776,0.1634,0.2047,4.375
0,13,0.0,0.04,0.4235,0.365,0.3719,0.3116,0.4957,0.3792,0.4173,0.4006,9.4287,9.881,10.1379,15.0913,0.6524,0.2111,0.5507,4.75
0,13,0.06,0.12,0.3246,0.2766,0.3068,0.2654,0.3519,0.2395,0.3254,0.3358,11.8761,11.1955,12.1994,17.5629,0.675,0.2235,0.5929,4.0
0,13,0.14,-0.2,0.1376,0.1536,0.1316,0.2061,0.1697,0.1981,0.1407,0.2189,12.4519,13.7371,12.9861,14.7637,0.6033,0.2098,0.4849,5.5
0,13,0.2,-0.12,0.1705,0.1811,0.1495,0.177,0.2098,0.2142,0.1305,0.1667,12.5329,13.3051,13.3993,16.1802,0.622,0.203,0.5123,5.5
0,13,0.26,-0.04,0.1685,0.1944,0.1254,0.1345,0.2169,0.2228,0.0778,0.1078,14.0864,12.9216,15.1292,19.6245,0.6845,0.2067,0.5929,5.375
0,14,-0.08,0.04,0.2381,0.1796,0.2267,0.2568,0.3614,0.2762,0.35,0.3385,21.5141,26.6433,21.8814,16.4902,0.3525,0.1483,0.1787,4.375
0,14,-0.02,0.12,0.3937,0.2869,0.3856,0.3845,0.3316,0.1856,0.3524,0.3727,10.2651,14.1096,10.4942,11.2568,0.5598,0.2175,0.4355,4.625
0,14,0.06,-0.2,0.2391,0.2372,0.2163,0.2709,0.318,0.3367,0.2752,0.3289,11.7989,15.1901,12.4805,11.2922,0.5321,0.1925,0.3921,5.0
0,14,0.12,-0.12,0.2024,0.1884,0.1781,0.2383,0.2644,0.2511,0.2146,0.2775,11.6001,14.1241,12.3262,13.0049,0.5733,0.2001,0.4455,5.125
0,14,0.18,-0.04,0.1842,0.2018,0.1444,0.1517,0.202,0.203,0.0699,0.1051,14.5298,13.2097,15.4942,20.1166,0.689,0.1966,0.6033,5.125
0,14,0.24,0.04,0.1588,0.1714,0.0906,0.1011,0.1965,0.1939,0.0335,0.0633,16.3094,14.1532,17.2705,22.509,0.7211,0.1982,0.6507,5.125
0,15,-0.1,0.12,0.1865,0.1315,0.1692,0.2109,0.3022,0.2049,0.2794,0.2815,24.6086,29.8286,25.0126,19.2493,0.2944,0.1367,0.1268,4.375
0,15,-0.02,-0.2,0.2648,0.1927,0.2632,0.3202,0.3293,0.2409,0.3635,0.3918,19.4813,24.6035,19.6776,14.2857,0.3773,0.1673,0.2135,4.375
0,15,0.04,-0.12,0.2429,0.1978,0.2169,0.2798,0.3132,0.2653,0.2775,0.3346,14.2268,18.4777,14.8152,11.8804,0.4918,0.1911,0.3383,4.75
0,15,0.1,-0.04,0.2554,0.2412,0.1896,0.2151,0.3251,0.3032,0.1784,0.2219,11.0361,11.3219,12.286,16.0141,0.6454,0.201,0.5384,4.75
0,15,0.16,0.04,0.2071,0.2037,0.1519,0.1545,0.2488,0.214,0.0997,0.1366,14.6847,12.9729,15.5924,20.7725,0.707,0.2088,0.6294,4.75
0,15,0.22,0.12,0.1716,0.142,0.1084,0.1263,0.2036,0.1333,0.0546,0.0964,15.2227,13.6868,16.1073,21.2958,0.7267,0.1892,0.6363,4.875
0,16,-0.1,-0.2,0.1667,0.1282,0.1604,0.2022,0.3765,0.2936,0.3552,0.3632,25.4652,30.6984,25.8478,19.7481,0.2587,0.1188,0.1022,4.625
0,16,-0.04,-0.12,0.2796,0.2007,0.2561,0.2963,0.3427,0.24,0.3089,0.32,18.1634,23.2522,18.6706,13.9291,0.4112,0.1789,0.242,4.375
0,16,0.02,-0.04,0.3475,0.2932,0.3456,0.3316,0.3926,0.3236,0.3687,0.3613,10.9697,14.9782,11.5174,10.8822,0.5253,0.2182,0.3959,4.125
0,16,0.08,0.04,0.3182,0.2746,0.2598,0.2386,0.348,0.2735,0.2386,0.2485,10.0514,12.0408,11.1809,13.9843,0.6018,0.2218,0.4932,4.25
0,16,0.14,0.12,0.2544,0.2481,0.2826,0.1916,0.238,0.1744,0.2925,0.2399,15.2361,13.6907,15.0487,20.8107,0.7145,0.2132,0.6342,4.5
