rank,seed,delta_G,delta_sigma,ssimW,ssimN1,ssimN2,ssimN3,corrW,corrN1,corrN2,corrN3,eW,eN1,eN2,eN3,sync,meta,mean,peakfreq
0,6,0.12,-0.12,0.2912,0.3028,0.2845,0.2606,0.3156,0.3207,0.2395,0.2394,11.4265,11.8077,12.2431,15.8317,0.6054,0.2248,0.5255,4.75
0,6,0.18,-0.04,0.1841,0.2033,0.1605,0.0871,0.2702,0.2868,0.2053,0.1472,18.8477,15.5496,19.1377,25.4766,0.7627,0.2047,0.7193,4.5
0,6,0.24,0.04,0.1265,0.1437,0.0927,0.0431,0.2174,0.2333,0.1448,0.0934,26.7957,22.7258,26.9,33.6475,0.8754,0.1578,0.8641,4.5
0,7,-0.1,0.12,0.1366,0.1031,0.1298,0.1697,0.3927,0.291,0.3619,0.4026,26.7854,32.0934,27.182,20.8074,0.2563,0.1141,0.0747,4.375
0,7,-0.02,-0.2,0.2884,0.2371,0.2809,0.3186,0.4246,0.3478,0.3959,0.4064,19.8013,24.9082,20.2468,14.8143,0.3659,0.1785,0.2021,4.5
0,7,0.04,-0.12,0.3815,0.3167,0.3563,0.3592,0.4395,0.3632,0.3844,0.4024,11.6302,16.1736,12.3735,10.1625,0.5124,0.1998,0.3609,4.375
0,7,0.1,-0.04,0.3005,0.3041,0.2875,0.2461,0.3574,0.3468,0.2875,0.2794,12.0655,10.999,12.6667,17.712,0.6859,0.1945,0.5831,4.5
0,7,0.16,0.04,0.2618,0.3096,0.2604,0.1538,0.3952,0.4676,0.387,0.2806,21.8745,17.796,21.8873,28.6982,0.8067,0.1912,0.7863,6.25
0,7,0.22,0.12,0.1576,0.1887,0.1382,0.0694,0.3087,0.3874,0.2543,0.1608,27.9908,23.7057,28.0297,34.8826,0.9011,0.1199,0.8871,6.625
0,8,-0.1,-0.2,0.1017,0.0784,0.0962,0.1291,0.3772,0.2823,0.3464,0.3956,28.0295,33.3234,28.4184,21.9727,0.2013,0.098,0.0536,4.875
0,8,-0.04,-0.12,0.31,0.2304,0.2958,0.3371,0.4092,0.2903,0.3812,0.4113,17.1859,22.4429,17.665,12.5326,0.4143,0.1706,0.2446,4.125
0,8,0.02,-0.04,0.4211,0.3723,0.3968,0.3437,0.4924,0.4136,0.4477,0.4314,8.2067,10.4642,8.893,12.2734,0.5985,0.2221,0.491,5.25
0,8,0.08,0.04,0.3436,0.3096,0.292,0.264,0.4285,0.3618,0.3443,0.3612,13.979,11.7485,14.4113,20.3551,0.714,0.2168,0.6464,4.125
0,8,0.14,0.12,0.2918,0.3523,0.2923,0.1854,0.4451,0.5395,0.4218,0.3085,21.6948,17.5066,21.737,28.5746,0.7701,0.2385,0.7852,6.0
0,8,0.22,-0.2,0.2903,0.3207,0.262,0.2415,0.3094,0.3517,0.2283,0.2204,11.76,12.1675,12.6506,15.7709,0.5988,0.2194,0.5102,5.25
0,8,0.28,-0.12,0.1419,0.168,0.1049,0.0583,0.226,0.2706,0.165,0.122,21.5303,17.8031,21.7463,28.2055,0.7875,0.1965,0.7666,4.75
0,9,-0.06,-0.04,0.3004,0.2236,0.2759,0.3177,0.4206,0.3016,0.3803,0.3992,19.6929,24.999,20.187,14.628,0.3758,0.168,0.1994,4.375
0,9,0.0,0.04,0.4649,0.3931,0.4136,0.3643,0.5277,0.4376,0.4649,0.4606,8.0306,9.9429,8.8131,12.6317,0.6128,0.2116,0.5044,4.75
0,9,0.06,0.12,0.3081,0.3069,0.2839,0.2094,0.4779,0.4419,0.4266,0.3698,18.6073,15.1407,18.7478,25.3658,0.7679,0.1993,0.7345,5.375
0,9,0.14,-0.2,0.2886,0.2963,0.2608,0.266,0.297,0.3088,0.2283,0.2372,11.8211,13.9865,12.6872,13.8263,0.5678,0.2086,0.4486,5.0
0,9,0.2,-0.12,0.2627,0.3019,0.2449,0.1744,0.3574,0.4028,0.2685,0.226,12.4687,10.7758,13.1701,18.4136,0.6488,0.2277,0.5904,4.75
0,9,0.26,-0.04,0.1418,0.1659,0.1043,0.0529,0.2272,0.2616,0.1537,0.1052,23.988,20.0482,24.1646,30.7988,0.8434,0.1508,0.8138,4.625
0,10,-0.08,0.04,0.2242,0.1588,0.2058,0.2554,0.4208,0.2865,0.3726,0.404,23.423,28.8095,23.8965,17.7966,0.304,0.1463,0.1328,4.125
0,10,-0.02,0.12,0.451,0.3875,0.3929,0.3629,0.4893,0.3835,0.4276,0.4467,8.5828,10.0761,9.3056,13.3706,0.616,0.2279,0.519,4.25
0,10,0.06,-0.2,0.3477,0.3008,0.3335,0.3498,0.382,0.3202,0.3195,0.3486,12.8749,17.3985,13.6418,10.8761,0.4948,0.198,0.3426,4.875
0,10,0.12,-0.12,0.2915,0.3061,0.2637,0.2371,0.3197,0.339,0.2403,0.236,11.799,11.5624,12.5955,16.6174,0.6489,0.1981,0.5434,4.75
0,10,0.18,-0.04,0.2535,0.2901,0.2193,0.1752,0.3039,0.3478,0.1941,0.1655,14.5518,12.2665,15.2966,20.7152,0.6947,0.2102,0.6252,4.75
0,10,0.24,0.04,0.1598,0.1775,0.1227,0.0624,0.2618,0.2813,0.1818,0.1273,25.4924,21.4558,25.6372,32.3608,0.8599,0.1647,0.8423,4.375
0,11,-0.1,0.12,0.1486,0.1173,0.141,0.1794,0.4091,0.3215,0.3522,0.3876,26.4758,31.7536,26.9336,20.6006,0.256,0.1214,0.0796,4.125
0,11,-0.02,-0.2,0.298,0.2265,0.2856,0.342,0.4134,0.3134,0.3949,0.43,18.7419,23.926,19.1564,13.7346,0.3953,0.1731,0.2205,4.5
0,11,0.04,-0.12,0.3798,0.3338,0.3355,0.3522,0.433,0.3727,0.3422,0.3715,10.7564,14.8402,11.7893,10.6767,0.5233,0.2138,0.3908,4.375
0,11,0.1,-0.04,0.3085,0.3192,0.2789,0.2421,0.3551,0.3639,0.2522,0.249,12.1405,10.8635,12.9291,17.9501,0.6706,0.2093,0.5857,4.5
0,11,0.16,0.04,0.2724,0.3192,0.2629,0.1592,0.4381,0.522,0.3993,0.2915,21.9131,17.7542,21.9893,28.8111,0.8032,0.206,0.7887,6.25
0,11,0.22,0.12,0.1485,0.1789,0.1263,0.058,0.2767,0.345,0.2072,0.1182,27.2532,23.0093,27.3365,34.1655,0.8949,0.136,0.8735,6.5
0,12,-0.1,-0.2,0.1062,0.0829,0.0986,0.1292,0.3801,0.2985,0.347,0.3928,27.7181,32.9887,28.1129,21.6885,0.2066,0.1043,0.0587,4.75
0,12,-0.04,-0.12,0.347,0.2551,0.2871,0.343,0.4529,0.3359,0.3704,0.419,16.9771,22.2449,17.6895,12.4695,0.4073,0.1828,0.2451,4.125
0,12,0.02,-0.04,0.4053,0.3419,0.4,0.3569,0.4579,0.3606,0.4381,0.4278,8.6541,11.9091,9.1902,11.2171,0.5792,0.2196,0.4581,5.125
0,12,0.08,0.04,0.3205,0.3349,0.3257,0.2502,0.4618,0.4434,0.4768,0.431,16.0764,12.977,16.1032,22.5878,0.7133,0.227,0.6893,5.625
0,12,0.14,0.12,0.2729,0.3378,0.2735,0.1741,0.4414,0.5445,0.4344,0.3289,23.3196,19.0618,23.3138,30.1684,0.8014,0.2114,0.8128,6.0
0,12,0.22,-0.2,0.22,0.2437,0.2021,0.194,0.2387,0.2689,0.1742,0.1723,12.6002,13.3869,13.3734,16.0475,0.5951,0.2116,0.4999,5.25
0,12,0.28,-0.12,0.1431,0.1763,0.1171,0.0576,0.2293,0.2845,0.1773,0.1174,22.2303,18.3674,22.3903,28.9712,0.8033,0.1803,0.7819,4.75
0,13,-0.06,-0.04,0.2827,0.2062,0.242,0.3021,0.4195,0.2983,0.3293,0.3797,20.2548,25.5702,20.9368,15.2191,0.3716,0.1586,0.1903,4.5
0,13,0.0,0.04,0.42,0.3692,0.3843,0.3129,0.492,0.4043,0.4232,0.3956,9.2503,9.7414,9.9302,14.8006,0.6288,0.237,0.5442,4.75
0,13,0.06,0.12,0.35,0.3464,0.331,0.235,0.5158,0.4839,0.4798,0.4062,18.1465,14.6747,18.2586,24.9203,0.7518,0.2115,0.7279,5.375
0,13,0.14,-0.2,0.2995,0.2967,0.2824,0.2983,0.3326,0.3263,0.2552,0.2741,12.2369,15.5587,13.167,12.4411,0.5286,0.1991,0.3963,5.125
0,13,0.2,-0.12,0.2963,0.3351,0.2776,0.2164,0.3758,0.4124,0.2861,0.2472,10.6159,11.2557,11.594,14.9562,0.6124,0.2142,0.5048,5.0
0,13,0.26,-0.04,0.1356,0.1535,0.0946,0.0456,0.2184,0.2538,0.1468,0.0902,24.4927,20.5221,24.6569,31.3219,0.837,0.1763,0.8222,4.625
0,14,-0.08,0.04,0.233,0.1649,0.2093,0.2657,0.4243,0.2903,0.3918,0.4266,22.9142,28.2984,23.3436,17.2558,0.3167,0.1515,0.1418,4.375
0,14,-0.02,0.12,0.3808,0.3087,0.3305,0.3058,0.4521,0.3292,0.3919,0.4103,8.9078,10.3399,9.5999,13.7501,0.6353,0.2115,0.5239,4.375
0,14,0.06,-0.2,0.3121,0.2646,0.291,0.3339,0.3614,0.2994,0.3146,0.3571,13.8009,18.377,14.4546,11.1751,0.4719,0.2043,0.3275,4.75
0,14,0.12,-0.12,0.2765,0.2902,0.2638,0.239,0.3147,0.3225,0.2443,0.2435,11.3685,11.5126,12.1211,15.9866,0.6358,0.2057,0.5342,4.75
0,14,0.18,-0.04,0.1817,0.2051,0.1507,0.0777,0.267,0.2929,0.2012,0.1381,19.6389,16.1712,19.9092,26.326,0.7852,0.185,0.7341,4.625
0,14,0.24,0.04,0.1385,0.152,0.094,0.0431,0.2408,0.2624,0.1454,0.0912,26.648,22.5564,26.7941,33.5416,0.8872,0.131,0.862,4.5
0,15,-0.1,0.12,0.1484,0.1147,0.1451,0.1906,0.3838,0.2992,0.392,0.4333,26.0521,31.3223,26.3635,20.0017,0.2598,0.1177,0.0875,4.375
0,15,-0.02,-0.2,0.3136,0.2549,0.2949,0.3288,0.456,0.3812,0.4098,0.424,19.0772,24.1511,19.6054,14.2729,0.3788,0.1704,0.2142,4.5
0,15,0.04,-0.12,0.3595,0.3142,0.3282,0.3202,0.4241,0.368,0.3487,0.3577,11.1018,15.1933,12.0164,10.8515,0.5229,0.2132,0.3851,4.5
0,15,0.1,-0.04,0.2841,0.2738,0.24,0.2267,0.3282,0.3072,0.2283,0.2419,12.6951,11.5597,13.4619,18.4012,0.6823,0.2125,0.5913,4.5
0,15,0.16,0.04,0.2577,0.3184,0.2547,0.1459,0.4086,0.5016,0.3737,0.2549,22.0697,17.8912,22.1407,28.9756,0.8,0.2015,0.79,6.25
0,15,0.22,0.12,0.154,0.1784,0.1261,0.0652,0.2746,0.3155,0.1953,0.127,27.0377,22.8653,27.137,33.9313,0.8802,0.1498,0.8701,6.5
0,16,-0.1,-0.2,0.0989,0.0761,0.0932,0.1219,0.3408,0.2637,0.3283,0.3704,27.9244,33.1873,28.2835,21.8742,0.2106,0.1051,0.056,4.625
0,16,-0.04,-0.12,0.3456,0.2624,0.3119,0.3562,0.4538,0.3449,0.4034,0.4299,16.8901,22.1125,17.466,12.3773,0.4133,0.1862,0.2479,4.125
0,16,0.02,-0.04,0.3923,0.3349,0.3453,0.3199,0.4525,0.3474,0.4016,0.4112,8.5482,10.8928,9.2679,12.4839,0.6029,0.2228,0.4929,5.125
0,16,0.08,0.04,0.332,0.306,0.2933,0.2519,0.4224,0.3752,0.3266,0.3302,14.4658,11.9951,14.9207,20.9493,0.7226,0.2144,0.6553,5.625
0,16,0.14,0.12,0.2693,0.3215,0.2551,0.167,0.442,0.5418,0.4224,0.3184,23.742,19.4868,23.7565,30.6085,0.7875,0.2149,0.8199,6.0
0,16,0.22,-0.2,0.2586,0.3088,0.2265,0.1974,0.2944,0.3586,0.1936,0.1725,13.0894,11.689,13.9519,18.5452,0.6561,0.2091,0.575,5.25
